week,location,average_price
14/12/2019,162.89(171.66),NS(140.90)
07/12/2019,165.35(173.83),141.11(143.75)
30/11/2019,166.80(170.50),138.78(147.73)
23/11/2019,169.58(166.78),142.91(147.42)
16/11/2019,163.94(169.67),145.15(147.66)
09/11/2019,166.87(177.65),147.83(152.11)
02/11/2019,175.49(168.59),144.75(148.08)
26/10/2019,175.30(169.82),150.27(149.99)
19/10/2019,170.26(NS),150.78(NS)
12/10/2019,NS(171.15),NS(148.69)
05/10/2019,179.31(170.67),153.97(148.30)
28/09/2019,174.34(169.82),150.62(147.24)
21/09/2019,179.93(169.57),150.14(148.95)
14/09/2019,180.39(170.87),150.11(151.04)
07/09/2019,186.91(168.96),156.33(154.24)
31/08/2019,181.49(170.78),155.92(156.89)
24/08/2019,189.25(173.53),157.20(156.75)
17/08/2019,193.24(181.20),157.18(158.15)
10/08/2019,199.96(181.60),161.93(160.76)
03/08/2019,200.75(184.80),161.43(162.80)
27/07/2019,200.66(186.91),164.66(164.58)
20/07/2019,200.78(188.95),162.09(164.19)
13/07/2019,193.91(189.75),158.33(163.99)
06/07/2019,203.14(197.96),158.98(161.81)
29/06/2019,204.32(196.80),156.96(165.32)
22/06/2019,204.49(188.19),163.02(168.70)
15/06/2019,187.49(182.49),155.00(161.37)
08/06/2019,180.12(174.75),147.98(153.80)
01/06/2019,178.76(169.82),139.17(151.75)
25/05/2019,179.27(171.01),135.23(143.04)
18/05/2019,180.26(180.60),135.12(146.64)
11/05/2019,194.09(187.78),135.48(146.66)
04/05/2019,202.32(186.67),143.43(155.39)
27/04/2019,188.95(167.10),152.29(161.55)
20/04/2019,175.25(164.51),167.26(154.44)
13/04/2019,160.80(123.79),171.04(155.00)
06/04/2019,126.10(143.14),176.47(125.12)
30/03/2019,NS(NS),147.57(98.31)
23/03/2019,116.78(111.02),113.16(NS)
16/03/2019,107.51(NS),NS(NS)
09/03/2019,115.79(NS),NS(99.46)
02/03/2019,113.26(116.89),121.65(99.35)
23/02/2019,114.70(116.79),NS(99.89)
16/02/2019,119.85(120.71),124.68(103.30)
09/02/2019,126.21(123.87),120.57(104.76)
02/02/2019,129.62(131.21),122.45(108.43)
26/01/2019,142.83(130.46),124.12(112.10)
19/01/2019,148.72(135.68),123.48(120.65)
12/01/2019,153.46(141.71),127.74(126.54)
05/01/2019,154.72(149.26),130.96(132.73)
26/12/2020,192.39(159.24),161.05(134.74)
19/12/2020,188.48(163.07),157.83(139.32)
12/12/2020,189.03(162.89),166.13(NS)
05/12/2020,194.39(165.35),164.13(141.11)
28/11/2020,199.99(166.80),169.10(138.78)
21/11/2020,205.67(169.58),176.59(142.91)
14/11/2020,222.00(163.94),186.64(145.15)
07/11/2020,228.66(166.87),191.78(147.83)
31/10/2020,NS(175.49),205.16(144.75)
24/10/2020,242.12(175.30 ),214.55(150.27)
17/10/2020,251.78(170.26),227.08(150.78)
10/10/2020,265.33(NS),239.35(NS)
03/10/2020,271.71(179.31),257.21(153.97)
26/09/2020,277.78(174.34),264.36(150.62)
19/09/2020,281.87(179.93),274.38(150.14)
12/09/2020,NS(180.39),280.73(150.11)
05/09/2020,291.04(186.91),288.54(156.33)
29/08/2020,300.10(181.49),297.03(155.92)
22/08/2020,307.42(189.25),295.12(157.20)
15/08/2020,308.75(193.24),296.85(157.18)
08/08/2020,307.12(199.96),287.86(161.93)
01/08/2020,295.89(200.75),278.31(161.43)
25/07/2020,297.63(200.66),NS(164.66)
18/07/2020,301.04(200.78),283.53(162.09)
11/07/2020,298.71(193.91),NS(158.33)
04/07/2020,298.54(203.14),273.53(158.98)
27/06/2020,272.59(204.32),265.12(156.96)
20/06/2020,275.63(204.49),253.01(163.02)
13/06/2020,250.54(187.49),231.18(155.00)
06/06/2020,235.11(180.12),216.35(147.98)
30/05/2020,NS(178.76),198.29(139.17)
23/05/2020,NS(179.26),199.08(135.23)
16/05/2020,135.40(180.26),222.01(135.12)
09/05/2020,NS(194.09),150.50(135.48)
02/05/2020,NS(202.32),217.56(143.43)
25/04/2020,NS(188.95),111.34(152.29)
18/04/2020,NS(175.25),NS(167.26)
11/04/2020,NS(161.15),NS(171.04)
04/04/2020,NS(126.10),NS(176.47)
21/03/2020,104.29(116.78),82.62(113.16)
14/03/2020,90.82(107.51),NS(NS)
07/03/2020,101.49(115.79),86.14(NS)
29/02/2020,103.45(113.26),89.03(121.65)
22/02/2020,109.64(114.70),86.02(NS)
15/02/2020,111.38(119.85),92.23(124.68)
08/02/2020,118.72(126.21),99.91(120.57)
01/02/2020,128.94(129.62),106.67(122.45)
25/01/2020,130.25(142.83),112.20(124.12)
18/01/2020,134.41(148.72),118.91(123.48)
11/01/2020,143.46(153.46),128.25(127.74)
04/01/2020,152.40(154.72),132.38(130.96)
25/12/2021,195.83(192.39),167.79(161.05)
18/12/2021,194.32(188.48),173.40(157.83)
11/12/2021,205.41(189.03),178.38(166.13)
04/12/2021,209.99(194.39),180.89(164.13)
27/11/2021,223.21(199.99),182.19(169.10)
20/11/2021,221.53(205.67),183.41(176.59)
13/11/2021,209.18(222.00),184.73(186.64)
06/11/2021,212.39(228.66),185.91(191.78)
30/10/2021,207.96(NS),177.68(205.16)
23/10/2021,217.22(242.12),175.53(214.55)
16/10/2021,NS(251.78),NS(227.08)
09/10/2021,217.03(265.33),173.90(239.35)
02/10/2021,220.10(271.71),178.72(257.21)
25/09/2021,223.11(277.78),177.37(264.36)
18/09/2021,216.13(281.87),179.12(274.38)
11/09/2021,218.92(NS),176.46(280.73)
04/09/2021,220.59(291.04),173.38(288.54)
28/08/2021,219.09(300.10),171.89(297.03)
21/08/2021,227.99(307.42),174.17(295.12)
14/08/2021,220.66(308.75),174.60(296.88)
07/08/2021,221.64(307.12),176.55(287.86)
31/07/2021,224.17(295.89),181.72(278.31)
24/07/2021,228.85(297.63),184.85(NS)
17/07/2021,237.55(301.04),196.28(283.53)
10/07/2021,242.19(298.71),207.64(NS)
03/07/2021,261.60(298.54),227.35(273.53)
26/06/2021,255.38(272.59),232.34(265.12)
19/06/2021,251.80(275.63),235.06(253.01)
12/06/2021,235.30(250.54),234.03(231.18)
05/06/2021,240.96(235.11),226.91(216.35)
29/05/2021,NS(NS),223.36(198.29)
22/05/2021,235.47(NS),218.16(199.08)
15/05/2021,228.46(135.40),211.75(222.01)
05/05/2021,231.55(NS),204.45(150.50)
01/05/2021,223.69(NS),198.18(217.56)
24/04/2021,226.63(NS),199.46(111.34)
17/04/2021,224.79(NS),NS(NS)
10/04/2021,203.98(NS),231.33(NS)
03/04/2021,NS(NS),157.33(NS)
27/03/2021,148.74(NS),NS(NS)
20/03/2021,NS(104.29),NS(82.62)
13/03/2021,145.50(90.82),149.69(NS)
06/03/2021,147.73(101.49),NS(86.14)
27/02/2021,157.71(103.45),158.58(89.03)
20/02/2021,170.57(109.64),146.18(86.02)
13/02/2021,174.16(111.38),148.15(92.23)
06/02/2021,174.91(118.72),157.00(99.91)
30/01/2021,190.21(128.94),160.65(106.67)
23/01/2021,190.96(130.25),165.06(112.20)
16/01/2021,190.95(134.41),168.51(118.91)
09/01/2021,190.74(143.46),168.22(128.25)
02/01/2021,195.23(152.40),164.42(132.38)
31/12/2022,187.14(190.91),156.78(162.54)
24/12/2022,193.25(195.83),161.45(167.79)
17/12/2022,196.84(194.32),163.65(173.40)
10/12/2022,206.80(205.41),173.77(178.38)
03/12/2022,214.85(209.99),177.42(180.89)
26/11/2022,226.37(223.21),182.58(182.19)
19/11/2022,233.17(221.53),185.53(183.41)
12/11/2022,239.65(209.18),190.10(184.73)
05/11/2022,232.59(212.39),196.10(185.91)
29/10/2022,250.78(207.96),196.93(177.68)
22/10/2022,233.65(217.22),204.87(175.53)
15/10/2022,234.32(NS),203.09(NS)
08/10/2022,NS(217.03),NS(173.90)
01/10/2022,232.10(220.10),192.11(178.72)
24/09/2022,235.30(223.11),196.80(177.37)
17/09/2022,246.81(216.13),203.84(179.12)
10/09/2022,259.99(218.92),214.21(176.46)
03/09/2022,270.04(220.59),218.88(173.38)
27/08/2022,275.09(219.09),214.77(171.89)
20/08/2022,280.24(227.99),213.44(174.17)
13/08/2022,283.84(220.66),214.56(174.60)
06/08/2022,286.87(221.64),212.30(176.55)
30/07/2022,285.93(224.17),217.27(181.74)
23/07/2022,278.57(228.85),208.80(184.85)
16/07/2022,276.29(237.55),207.34(196.28)
09/07/2022,284.00(242.19),210.28(207.64)
02/07/2022,291.61(261.60),214.97(227.35)
25/06/2022,288.10(255.38),215.25(232.34)
18/06/2022,280.56(251.80),216.46(235.06)
11/06/2022,237.97(235.30),201.06(234.03)
04/06/2022,215.66(240.96),184.72(226.91)
28/05/2022,209.88(NS),176.69(223.36)
21/05/2022,219.48(235.47),179.25(218.16)
14/05/2022,218.60(228.46),184.92(211.75)
07/05/2022,238.97(231.55),196.65(204.45)
30/04/2022,258.20(223.69),216.99(198.18)
23/04/2022,261.00(226.63),252.34(199.46)
16/04/2022,235.68(224.79),277.12(NS)
09/04/2022,213.17(203.98),250.50(231.33)
02/04/2022,NS(NS),127.74(157.33)
26/03/2022,149.09(148.74),NS(NS)
19/03/2022,NS(NS),NS(NS)
12/03/2022,NS(145.50),NS(149.69)
05/03/2022,NS(147.73),130.19(NS)
26/02/2022,145.09(157.71),NS(158.58)
19/02/2022,NS(170.57),134.22(146.18)
12/02/2022,148.76(174.16),140.54(148.15)
05/02/2022,161.68(174.91),146.54(157.00)
29/01/2022,NS(190.21),146.93(160.65)
22/01/2022,166.25(190.96),148.30(165.06)
15/01/2022,175.91(190.95),151.52(168.51)
08/01/2022,181.21(190.74),154.38(168.22)
01/01/2022,190.91(195.23),162.54(164.42)
01/07/2023,237.77(291.61),214.07(214.97)
24/06/2023,235.24(288.1),213.43(215.25)
17/06/2023,236.57(280.56),217.3(216.46)
10/06/2023,227(237.97),215.7(201.06)
03/06/2023,210.22(215.66),206.43(184.72)
27/05/2023,200.46(209.88),193.03(176.69)
20/05/2023,196.92(219.48),183.68(179.25)
13/05/2023,207.04(218.6),191.25(184.92)
06/05/2023,209.78(238.97),193.83(196.65)
29/04/2023,220.28(258.2),201.53(216.99)
22/04/2023,223.66(261.00),214.50(252.32)
15/04/2023,209.95(235.68),223.66(277.12)
08/04/2023,212.25(213.17),216.60(250.50)
01/04/2023,NS(NS),173.02(127.74)
25/03/2023,156.81(149.09),140.46(NS)
18/03/2023,NS(NS),NS(NS)
11/03/2023,145.76(NS),136.56(NS)
04/03/2023,153.2(NS),143.94(130.19)
25/02/2023,NS(145.09),NS(NS)
18/02/2023,156.81(NS),139.44(134.22)
11/02/2023,150.25(148.76),140.81(140.54)
04/02/2023,153.5(161.68),141.91(146.54)
28/01/2023,160.42(NS),140.79(146.93)
21/01/2023,160.43(166.25),139.98(148.30)
14/01/2023,169.60(175.91),145.18(151.53)
07/01/2023,173.61(181.21),148.45(154.38)
