week,location,average_price
07/08/2010,143.69(130.36),121.01(112.18)
31/07/2010,151.59(128.54),122.69(112.15)
24/07/2010,143.44(129.43),117.96(107.34)
17/07/2010,145.67(132.42),115.80(106.59)
10/07/2010,148.45(135.45),118.03(116.19)
03/07/2010,147.37(135.45),116.78(124.00)
26/06/2010,139.30(132.85),116.30(125.70)
19/06/2010,131.15(132.73),114.96(126.35)
12/06/2010,125.63(132.31),114.66(125.01)
05/06/2010,121.74(137.00),111.26(N.S.)
29/05/2010,128.59(142.61),111.38(133.71)
22/05/2010,126.66(144.13),109.49(133.55)
15/05/2010,131.52(139.18),111.45(131.00)
08/05/2010,130.01(134.88),115.32(128.69)
01/05/2010,122.61(125.87),118.43(122.08)
24/04/2010,112.17(118.01),101.64(110.15)
17/04/2010,108.70(N.S.),N.S.(N.S.)
10/04/2010,76.93(N.S.),82.25(98.98)
03/04/2010,69.52(83.11),66.59(N.S.)
27/03/2010,N.S.(N.S.),N.S.(74.71)
20/03/2010,N.S.(79.41),N.S.(N.S.)
13/03/2010,77.35(N.S.),73.71(N.S.)
06/03/2010,85.89(80.34),75.65(71.10)
27/02/2010,97.15(81.40),82.20(74.37)
20/02/2010,101.73(84.96),86.83(75.21)
13/02/2010,107.88(88.44),87.33(79.94)
06/02/2010,107.33(89.04),89.44(83.21)
30/01/2010,113.04(91.38),N.S.(N.S.)
23/01/2010,108.55 (94.11),91.35 (85.69)
16/01/2010,N.S.( 95.94),94.06 (87.63)
09/01/2010,111.53 (97.55),97.72 (87.46)
02/01/2010,117.54 (98.17),103.07 (N.S)
26/11/2011,124.70(139.23),105.75(118.33)
31/12/2011,122.94(127.77),97.88(N.S.)
24/12/2011,122.48(129.92),97.97(104.53)
17/12/2011,119.60(130.17),96.47(109.01)
10/12/2011,124.39(134.04),101.38(110.45)
03/12/2011,127.73(138.35),101.54(117.14)
19/11/2011,126.68(139.10),104.42(120.23)
12/11/2011,129.00(140.69),109.59(118.40)
05/11/2011,130.44(141.15),109.82(118.85)
29/10/2011,131.43(140.58),114.62(122.21)
22/10/2011,129.89(N.S.),111.21(124.61)
15/10/2011,135.17(142.76),110.37(N.S.)
08/10/2011,N.S.(143.96),N.S.(123.40)
01/10/2011,139.56(138.31),112.58(123.32)
24/09/2011,133.90(142.83),108.53(124.50)
17/09/2011,131.82(144.29),111.83(122.47)
10/09/2011,133.12(146.04),110.50(125.32)
03/09/2011,132.88(143.82),109.13(122.03)
27/08/2011,134.38(146.33),110.77(124.94)
20/08/2011,135.08(147.06),111.46(126.14)
13/08/2011,140.09(145.74),111.69(123.02)
06/08/2011,138.40(143.69),111.13(121.01)
30/07/2011,138.34(151.59),118.38(122.69)
23/07/2011,145.30(143.44),122.05(117.96)
16/07/2011,149.01(145.67),126.51(115.80)
